INFO | 2024-04-20 11:58:24,090 | Starting the client...
INFO | 2024-04-20 11:58:32,990 | Starting the client...
INFO | 2024-04-20 11:58:41,962 | Starting the client...
ERROR | 2024-04-20 11:59:01,932 | Unexpected error: video system not initialized
ERROR | 2024-04-20 11:59:01,932 | Unexpected error: video system not initialized
ERROR | 2024-04-20 11:59:01,934 | Unexpected error: video system not initialized
INFO | 2024-04-20 12:02:26,052 | Starting the client...
INFO | 2024-04-20 12:02:34,712 | Starting the client...
INFO | 2024-04-20 12:02:42,753 | Starting the client...
ERROR | 2024-04-20 12:03:17,540 | Unexpected error: video system not initialized
ERROR | 2024-04-20 12:03:17,541 | Unexpected error: video system not initialized
ERROR | 2024-04-20 12:03:17,546 | Unexpected error: video system not initialized
INFO | 2024-04-20 12:05:34,683 | Starting the client...
INFO | 2024-04-20 12:06:25,403 | Starting the client...
INFO | 2024-04-20 12:06:31,792 | Starting the client...
INFO | 2024-04-20 12:06:39,378 | Starting the client...
INFO | 2024-04-20 12:12:01,728 | Validating environment...
INFO | 2024-04-20 12:12:59,330 | Validating environment...
INFO | 2024-04-20 12:12:59,345 | Environment validated. Starting the client...
INFO | 2024-04-20 12:12:59,345 | Starting the client...
INFO | 2024-04-20 12:13:07,968 | Validating environment...
INFO | 2024-04-20 12:13:07,980 | Environment validated. Starting the client...
INFO | 2024-04-20 12:13:07,981 | Starting the client...
INFO | 2024-04-20 12:13:16,897 | Validating environment...
INFO | 2024-04-20 12:13:16,915 | Environment validated. Starting the client...
INFO | 2024-04-20 12:13:16,915 | Starting the client...
ERROR | 2024-04-20 12:13:36,392 | video sys not initialised
ERROR | 2024-04-20 12:13:36,395 | video sys not initialised
ERROR | 2024-04-20 12:13:36,395 | video sys not initialised
INFO | 2024-04-20 12:15:33,151 | Validating environment...
INFO | 2024-04-20 12:15:33,155 | Environment validated. Starting the client...
INFO | 2024-04-20 12:15:33,155 | Starting the client...
INFO | 2024-04-20 12:15:40,584 | Validating environment...
INFO | 2024-04-20 12:15:40,591 | Environment validated. Starting the client...
INFO | 2024-04-20 12:15:40,591 | Starting the client...
INFO | 2024-04-20 12:15:49,306 | Validating environment...
INFO | 2024-04-20 12:15:49,318 | Environment validated. Starting the client...
INFO | 2024-04-20 12:15:49,318 | Starting the client...
ERROR | 2024-04-20 12:16:04,734 | video sys not initialised
ERROR | 2024-04-20 12:16:04,734 | video sys not initialised
ERROR | 2024-04-20 12:16:04,739 | video sys not initialised
INFO | 2024-04-20 12:21:26,526 | Validating environment...
INFO | 2024-04-20 12:21:26,531 | Environment validated. Starting the client...
INFO | 2024-04-20 12:21:26,531 | Starting the client...
INFO | 2024-04-20 12:21:35,756 | Validating environment...
INFO | 2024-04-20 12:21:35,766 | Environment validated. Starting the client...
INFO | 2024-04-20 12:21:35,766 | Starting the client...
INFO | 2024-04-20 12:21:49,344 | Validating environment...
INFO | 2024-04-20 12:21:49,369 | Environment validated. Starting the client...
INFO | 2024-04-20 12:21:49,370 | Starting the client...
ERROR | 2024-04-20 12:22:13,755 | video sys not initialised
ERROR | 2024-04-20 12:22:13,755 | video sys not initialised
ERROR | 2024-04-20 12:22:13,760 | video sys not initialised
INFO | 2024-04-20 12:25:21,213 | Validating environment...
INFO | 2024-04-20 12:25:21,220 | Environment validated. Starting the client...
INFO | 2024-04-20 12:25:21,221 | Starting the client...
INFO | 2024-04-20 12:25:45,905 | Validating environment...
INFO | 2024-04-20 12:25:45,911 | Environment validated. Starting the client...
INFO | 2024-04-20 12:25:45,912 | Starting the client...
INFO | 2024-04-20 12:25:57,485 | Validating environment...
INFO | 2024-04-20 12:25:57,499 | Environment validated. Starting the client...
INFO | 2024-04-20 12:25:57,499 | Starting the client...
INFO | 2024-04-20 12:26:09,880 | Validating environment...
INFO | 2024-04-20 12:26:09,960 | Environment validated. Starting the client...
INFO | 2024-04-20 12:26:09,960 | Starting the client...
ERROR | 2024-04-20 12:26:39,724 | video sys not initialised
ERROR | 2024-04-20 12:26:40,732 | video sys not initialised
ERROR | 2024-04-20 12:26:41,724 | video sys not initialised
INFO | 2024-04-20 12:35:04,569 | Validating environment...
INFO | 2024-04-20 12:35:04,575 | Environment validated. Starting the client...
INFO | 2024-04-20 12:35:04,576 | Starting the client...
INFO | 2024-04-20 12:35:13,522 | Validating environment...
INFO | 2024-04-20 12:35:13,531 | Environment validated. Starting the client...
INFO | 2024-04-20 12:35:13,531 | Starting the client...
INFO | 2024-04-20 12:35:24,916 | Validating environment...
INFO | 2024-04-20 12:35:24,943 | Environment validated. Starting the client...
INFO | 2024-04-20 12:35:24,944 | Starting the client...
INFO | 2024-04-20 16:27:34,381 | Validating environment...
INFO | 2024-04-20 16:27:34,387 | Environment validated. Starting the client...
INFO | 2024-04-20 16:27:34,387 | Starting the client...
INFO | 2024-04-20 16:27:44,305 | Validating environment...
INFO | 2024-04-20 16:27:44,313 | Environment validated. Starting the client...
INFO | 2024-04-20 16:27:44,314 | Starting the client...
INFO | 2024-04-20 16:27:54,406 | Validating environment...
INFO | 2024-04-20 16:27:54,430 | Environment validated. Starting the client...
INFO | 2024-04-20 16:27:54,431 | Starting the client...
ERROR | 2024-04-20 16:28:23,367 | video sys not initialised
ERROR | 2024-04-20 16:28:23,369 | video sys not initialised
ERROR | 2024-04-20 16:28:23,370 | video sys not initialised
INFO | 2024-04-20 16:45:48,520 | Validating environment...
INFO | 2024-04-20 16:45:48,523 | Environment validated. Starting the client...
INFO | 2024-04-20 16:45:48,524 | Starting the client...
INFO | 2024-04-20 16:45:59,430 | Validating environment...
INFO | 2024-04-20 16:45:59,438 | Environment validated. Starting the client...
INFO | 2024-04-20 16:45:59,438 | Starting the client...
INFO | 2024-04-20 16:46:11,114 | Validating environment...
INFO | 2024-04-20 16:46:11,120 | Environment validated. Starting the client...
INFO | 2024-04-20 16:46:11,120 | Starting the client...
INFO | 2024-04-20 16:48:23,215 | Validating environment...
INFO | 2024-04-20 16:48:23,220 | Environment validated. Starting the client...
INFO | 2024-04-20 16:48:23,220 | Starting the client...
INFO | 2024-04-20 16:48:32,906 | Validating environment...
INFO | 2024-04-20 16:48:32,912 | Environment validated. Starting the client...
INFO | 2024-04-20 16:48:32,912 | Starting the client...
INFO | 2024-04-20 16:48:42,949 | Validating environment...
INFO | 2024-04-20 16:48:43,005 | Environment validated. Starting the client...
INFO | 2024-04-20 16:48:43,006 | Starting the client...
